dcterms:identifier,osgeo:termID,rdf:type,rdf:type,rdfs:label,osgeo:abbreviation,skos:prefLabel @en,skos:altLabel @en,skos:definition @en,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo:example @en,osgeo:example @en,osgeo:hasSource,osgeo:hasSource,osgeo:clause,osgeo:hasInfo,osgeo:hasReview,osgeo:hasLDAPI,osgeo:jsonURI,osgeo:hasLDAPI,osgeo:jsonldURI,osgeo:hasLDAPI,osgeo:rdfxmlURI,osgeo:hasLDAPI,osgeo:rdfxmlURI2,skos:inScheme,osgeo:hasOrigin @anyURI,osgeo:hasOrigin,osgeo:classification,skos:notation
124,osgeo-concept:c124,skos:Concept,owl:NamedIndividual,Free and Open Source Software for Geospatial,FOSS4G,Free and Open Source Software for Geospatial,,Conference of the Open Source Geospatial Foundation,,,,,,,,,osgeo-info:Info124,osgeo-review:Review124,ldapi124-json,https://osgeo.geolexica.org/api/ldapi/124.json,ldapi124-jsonld,https://osgeo.geolexica.org/api/ldapi/124.jsonld,ldapi124-rdfxml,https://osgeo.geolexica.org/api/ldapi/124.rdf,ldapi124-skosrdf,https://osgeo.geolexica.org/api/ldapi/124.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,124
125,osgeo-concept:c125,skos:Concept,owl:NamedIndividual,GD Graphics (Draw) Library,GD,GD Graphics (Draw) Library,,software graphics library for dynamic generation of images,,,,,,https://mapserver.org/glossary.html,,,osgeo-info:Info125,osgeo-review:Review125,ldapi125-json,https://osgeo.geolexica.org/api/ldapi/125.json,ldapi125-jsonld,https://osgeo.geolexica.org/api/ldapi/125.jsonld,ldapi125-rdfxml,https://osgeo.geolexica.org/api/ldapi/125.rdf,ldapi125-skosrdf,https://osgeo.geolexica.org/api/ldapi/125.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,125
126,osgeo-concept:c126,skos:Concept,owl:NamedIndividual,geodesy,,geodesy,,science that studies the shape of the Earch in the gravitational field,,,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,,osgeo-info:Info126,osgeo-review:Review126,ldapi126-json,https://osgeo.geolexica.org/api/ldapi/126.json,ldapi126-jsonld,https://osgeo.geolexica.org/api/ldapi/126.jsonld,ldapi126-rdfxml,https://osgeo.geolexica.org/api/ldapi/126.rdf,ldapi126-skosrdf,https://osgeo.geolexica.org/api/ldapi/126.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,126
127,osgeo-concept:c127,skos:Concept,owl:NamedIndividual,geographic information system,GIS,geographic information system,,"system that captures, stores, analyzes, manages, and presents data that is linked to location",,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info127,osgeo-review:Review127,ldapi127-json,https://osgeo.geolexica.org/api/ldapi/127.json,ldapi127-jsonld,https://osgeo.geolexica.org/api/ldapi/127.jsonld,ldapi127-rdfxml,https://osgeo.geolexica.org/api/ldapi/127.rdf,ldapi127-skosrdf,https://osgeo.geolexica.org/api/ldapi/127.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,127
128,osgeo-concept:c128,skos:Concept,owl:NamedIndividual,Geographic Linkage Service 1.0 Standards Working Group,GLS SWG,Geographic Linkage Service 1.0 Standards Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info128,osgeo-review:Review128,ldapi128-json,https://osgeo.geolexica.org/api/ldapi/128.json,ldapi128-jsonld,https://osgeo.geolexica.org/api/ldapi/128.jsonld,ldapi128-rdfxml,https://osgeo.geolexica.org/api/ldapi/128.rdf,ldapi128-skosrdf,https://osgeo.geolexica.org/api/ldapi/128.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,128
129,osgeo-concept:c129,skos:Concept,owl:NamedIndividual,geoid,,geoid,,"equipotential surface of the Earth’s gravity field which is perpendicular to the direction of gravity and which best fits mean sea level either locally, regionally or globally",,,,,,,osgeo-source:ISO-19111-2019,3.1.36,osgeo-info:Info129,osgeo-review:Review129,ldapi129-json,https://osgeo.geolexica.org/api/ldapi/129.json,ldapi129-jsonld,https://osgeo.geolexica.org/api/ldapi/129.jsonld,ldapi129-rdfxml,https://osgeo.geolexica.org/api/ldapi/129.rdf,ldapi129-skosrdf,https://osgeo.geolexica.org/api/ldapi/129.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,129
130,osgeo-concept:c130,skos:Concept,owl:NamedIndividual,GeoJSON,,GeoJSON,,format for encoding a variety of geographic data structures using JSON,Note to entry: GeoJSON is commonly used in spatial applications.,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info130,osgeo-review:Review130,ldapi130-json,https://osgeo.geolexica.org/api/ldapi/130.json,ldapi130-jsonld,https://osgeo.geolexica.org/api/ldapi/130.jsonld,ldapi130-rdfxml,https://osgeo.geolexica.org/api/ldapi/130.rdf,ldapi130-skosrdf,https://osgeo.geolexica.org/api/ldapi/130.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,130
131,osgeo-concept:c131,skos:Concept,owl:NamedIndividual,Geometry Engine Open Source,GEOS,Geometry Engine Open Source,,C/C++ port of the Java Topology Suite used for geometric algebra operations,Note to entry: Can be used for applications such as determining if a polygon is contained in another polygon or determining the resultant intersection of two or more polygons.,,,,,https://mapserver.org/glossary.html,,,osgeo-info:Info131,osgeo-review:Review131,ldapi131-json,https://osgeo.geolexica.org/api/ldapi/131.json,ldapi131-jsonld,https://osgeo.geolexica.org/api/ldapi/131.jsonld,ldapi131-rdfxml,https://osgeo.geolexica.org/api/ldapi/131.rdf,ldapi131-skosrdf,https://osgeo.geolexica.org/api/ldapi/131.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,131
132,osgeo-concept:c132,skos:Concept,owl:NamedIndividual,GeoNetwork,,GeoNetwork,,"standards based, Free and Open Source catalog application to manage spatially referenced resources through the web",Note to entry: Available from: http://geonetwork-opensource.org,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info132,osgeo-review:Review132,ldapi132-json,https://osgeo.geolexica.org/api/ldapi/132.json,ldapi132-jsonld,https://osgeo.geolexica.org/api/ldapi/132.jsonld,ldapi132-rdfxml,https://osgeo.geolexica.org/api/ldapi/132.rdf,ldapi132-skosrdf,https://osgeo.geolexica.org/api/ldapi/132.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,132
133,osgeo-concept:c133,skos:Concept,owl:NamedIndividual,GeoNetwork Administrator Survival Tool,GAST,GeoNetwork Administrator Survival Tool,,desktop application that allows administrators of a GeoNetwork catalog to perform simple database configuration using a GUI,,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info133,osgeo-review:Review133,ldapi133-json,https://osgeo.geolexica.org/api/ldapi/133.json,ldapi133-jsonld,https://osgeo.geolexica.org/api/ldapi/133.jsonld,ldapi133-rdfxml,https://osgeo.geolexica.org/api/ldapi/133.rdf,ldapi133-skosrdf,https://osgeo.geolexica.org/api/ldapi/133.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,133
134,osgeo-concept:c134,skos:Concept,owl:NamedIndividual,geopositioning,,geopositioning,,determination of the geographic position of an object,"Note to entry: While there are many methods for geopositioning, this document is focused on geopositioning from image coordinates.",,,,,,osgeo-source:ISO-19130-1-2018,3.36,osgeo-info:Info134,osgeo-review:Review134,ldapi134-json,https://osgeo.geolexica.org/api/ldapi/134.json,ldapi134-jsonld,https://osgeo.geolexica.org/api/ldapi/134.jsonld,ldapi134-rdfxml,https://osgeo.geolexica.org/api/ldapi/134.rdf,ldapi134-skosrdf,https://osgeo.geolexica.org/api/ldapi/134.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,134
135,osgeo-concept:c135,skos:Concept,owl:NamedIndividual,Geoprocessing networks in a European Territorial Interoperability Study,GETIS,Geoprocessing networks in a European Territorial Interoperability Study,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info135,osgeo-review:Review135,ldapi135-json,https://osgeo.geolexica.org/api/ldapi/135.json,ldapi135-jsonld,https://osgeo.geolexica.org/api/ldapi/135.jsonld,ldapi135-rdfxml,https://osgeo.geolexica.org/api/ldapi/135.rdf,ldapi135-skosrdf,https://osgeo.geolexica.org/api/ldapi/135.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,135
136,osgeo-concept:c136,skos:Concept,owl:NamedIndividual,georectified,,georectified,,corrected for positional displacement with respect to the surface of the Earth,,,,,,,osgeo-source:ISO-19115-2-2019,3.11,osgeo-info:Info136,osgeo-review:Review136,ldapi136-json,https://osgeo.geolexica.org/api/ldapi/136.json,ldapi136-jsonld,https://osgeo.geolexica.org/api/ldapi/136.jsonld,ldapi136-rdfxml,https://osgeo.geolexica.org/api/ldapi/136.rdf,ldapi136-skosrdf,https://osgeo.geolexica.org/api/ldapi/136.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,136
137,osgeo-concept:c137,skos:Concept,owl:NamedIndividual,georeferencing,,georeferencing,,geopositioning an object using a Correspondence Model derived from a set of points for which both ground and image coordinates are known,,,,,,,osgeo-source:ISO-19130-1-2018,3.38,osgeo-info:Info137,osgeo-review:Review137,ldapi137-json,https://osgeo.geolexica.org/api/ldapi/137.json,ldapi137-jsonld,https://osgeo.geolexica.org/api/ldapi/137.jsonld,ldapi137-rdfxml,https://osgeo.geolexica.org/api/ldapi/137.rdf,ldapi137-skosrdf,https://osgeo.geolexica.org/api/ldapi/137.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,137
138,osgeo-concept:c138,skos:Concept,owl:NamedIndividual,GeoRSS,,GeoRSS,,RSS feed containing geographic information in GML format,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info138,osgeo-review:Review138,ldapi138-json,https://osgeo.geolexica.org/api/ldapi/138.json,ldapi138-jsonld,https://osgeo.geolexica.org/api/ldapi/138.jsonld,ldapi138-rdfxml,https://osgeo.geolexica.org/api/ldapi/138.rdf,ldapi138-skosrdf,https://osgeo.geolexica.org/api/ldapi/138.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,138
139,osgeo-concept:c139,skos:Concept,owl:NamedIndividual,GeoServer,,GeoServer,,open source software server written in Java that allows users to share and edit geospatial data,,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info139,osgeo-review:Review139,ldapi139-json,https://osgeo.geolexica.org/api/ldapi/139.json,ldapi139-jsonld,https://osgeo.geolexica.org/api/ldapi/139.jsonld,ldapi139-rdfxml,https://osgeo.geolexica.org/api/ldapi/139.rdf,ldapi139-skosrdf,https://osgeo.geolexica.org/api/ldapi/139.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,139
140,osgeo-concept:c140,skos:Concept,owl:NamedIndividual,GeoServer Data Store,,GeoServer Data Store,,GeoServer connection to a source of raster or vector data,,,,"EXAMPLE  A GeoServer Data Store can be a file or group of files, a database table, etc.",,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info140,osgeo-review:Review140,ldapi140-json,https://osgeo.geolexica.org/api/ldapi/140.json,ldapi140-jsonld,https://osgeo.geolexica.org/api/ldapi/140.jsonld,ldapi140-rdfxml,https://osgeo.geolexica.org/api/ldapi/140.rdf,ldapi140-skosrdf,https://osgeo.geolexica.org/api/ldapi/140.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,140
141,osgeo-concept:c141,skos:Concept,owl:NamedIndividual,GeoServer ImageMosaic,,GeoServer ImageMosaic,,GeoServer data store supporting the creation of a mosaic based on a number of georeferenced raster data sources,Note to entry: See also Data Store and Mosaic.,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info141,osgeo-review:Review141,ldapi141-json,https://osgeo.geolexica.org/api/ldapi/141.json,ldapi141-jsonld,https://osgeo.geolexica.org/api/ldapi/141.jsonld,ldapi141-rdfxml,https://osgeo.geolexica.org/api/ldapi/141.rdf,ldapi141-skosrdf,https://osgeo.geolexica.org/api/ldapi/141.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,141
142,osgeo-concept:c142,skos:Concept,owl:NamedIndividual,GeoServices REST (REpresentational State Transfer) Standards Working Group,GServRestSWG,GeoServices REST (REpresentational State Transfer) Standards Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info142,osgeo-review:Review142,ldapi142-json,https://osgeo.geolexica.org/api/ldapi/142.json,ldapi142-jsonld,https://osgeo.geolexica.org/api/ldapi/142.jsonld,ldapi142-rdfxml,https://osgeo.geolexica.org/api/ldapi/142.rdf,ldapi142-skosrdf,https://osgeo.geolexica.org/api/ldapi/142.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,142
143,osgeo-concept:c143,skos:Concept,owl:NamedIndividual,GeoSPARQL SWG,,GeoSPARQL SWG,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info143,osgeo-review:Review143,ldapi143-json,https://osgeo.geolexica.org/api/ldapi/143.json,ldapi143-jsonld,https://osgeo.geolexica.org/api/ldapi/143.jsonld,ldapi143-rdfxml,https://osgeo.geolexica.org/api/ldapi/143.rdf,ldapi143-skosrdf,https://osgeo.geolexica.org/api/ldapi/143.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,143
144,osgeo-concept:c144,skos:Concept,owl:NamedIndividual,Geospatial Data Abstraction Library,GDAL,Geospatial Data Abstraction Library,,"open source, multi-format raster reading and writing library",Note to entry: Pronounced “GOO-duhl”. Used widely in both open source and proprietary software.,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info144,osgeo-review:Review144,ldapi144-json,https://osgeo.geolexica.org/api/ldapi/144.json,ldapi144-jsonld,https://osgeo.geolexica.org/api/ldapi/144.jsonld,ldapi144-rdfxml,https://osgeo.geolexica.org/api/ldapi/144.rdf,ldapi144-skosrdf,https://osgeo.geolexica.org/api/ldapi/144.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,144
145,osgeo-concept:c145,skos:Concept,owl:NamedIndividual,geospatial data set,,geospatial data set,,"set or group of geospatial data having a common theme or association, often represented in a thematic layer",Note to entry: Geospatial datasets are typically the main elements in a GIS data model.,,,EXAMPLE  An ESRI shapefile containing a set of line features representing city streets.,,https://wiki.osgeo.org/wiki/Starter_Dictionary,,,osgeo-info:Info145,osgeo-review:Review145,ldapi145-json,https://osgeo.geolexica.org/api/ldapi/145.json,ldapi145-jsonld,https://osgeo.geolexica.org/api/ldapi/145.jsonld,ldapi145-rdfxml,https://osgeo.geolexica.org/api/ldapi/145.rdf,ldapi145-skosrdf,https://osgeo.geolexica.org/api/ldapi/145.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,145
146,osgeo-concept:c146,skos:Concept,owl:NamedIndividual,Geospatial Information & Technology Association,GITA,Geospatial Information & Technology Association,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info146,osgeo-review:Review146,ldapi146-json,https://osgeo.geolexica.org/api/ldapi/146.json,ldapi146-jsonld,https://osgeo.geolexica.org/api/ldapi/146.jsonld,ldapi146-rdfxml,https://osgeo.geolexica.org/api/ldapi/146.rdf,ldapi146-skosrdf,https://osgeo.geolexica.org/api/ldapi/146.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,146
147,osgeo-concept:c147,skos:Concept,owl:NamedIndividual,geospatial metadata instance,,geospatial metadata instance,,"single and specific metadata document, typically created in conformance with a metadata standard",Note to entry: There is typically a metadata instance for each geospatial dataset in a GIS.,,,"EXAMPLE  In a GIS that managed road data and car accident data in ESRI Shapefiles, you would have a metadata instance for each shapefile. One metadata instance might be named roads_metadata.txt while the other was named car_accidents_metadata.txt.",,https://wiki.osgeo.org/wiki/Starter_Dictionary,,,osgeo-info:Info147,osgeo-review:Review147,ldapi147-json,https://osgeo.geolexica.org/api/ldapi/147.json,ldapi147-jsonld,https://osgeo.geolexica.org/api/ldapi/147.jsonld,ldapi147-rdfxml,https://osgeo.geolexica.org/api/ldapi/147.rdf,ldapi147-skosrdf,https://osgeo.geolexica.org/api/ldapi/147.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,147
148,osgeo-concept:c148,skos:Concept,owl:NamedIndividual,geospatial metadata standard,,geospatial metadata standard,,guidelines for creating the content and structure of a metadata file,,,,EXAMPLE  The FGDC metadata standard.,,https://wiki.osgeo.org/wiki/Starter_Dictionary,,,osgeo-info:Info148,osgeo-review:Review148,ldapi148-json,https://osgeo.geolexica.org/api/ldapi/148.json,ldapi148-jsonld,https://osgeo.geolexica.org/api/ldapi/148.jsonld,ldapi148-rdfxml,https://osgeo.geolexica.org/api/ldapi/148.rdf,ldapi148-skosrdf,https://osgeo.geolexica.org/api/ldapi/148.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,148
149,osgeo-concept:c149,skos:Concept,owl:NamedIndividual,Geospatial Objects,GO,Geospatial Objects,,OGC OpenGIS Geographic Objects Implementation Specification,Note to entry:  Retired OGC standard.,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info149,osgeo-review:Review149,ldapi149-json,https://osgeo.geolexica.org/api/ldapi/149.json,ldapi149-jsonld,https://osgeo.geolexica.org/api/ldapi/149.jsonld,ldapi149-rdfxml,https://osgeo.geolexica.org/api/ldapi/149.rdf,ldapi149-skosrdf,https://osgeo.geolexica.org/api/ldapi/149.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,149
150,osgeo-concept:c150,skos:Concept,owl:NamedIndividual,Geospatial Rights Management Domain Working Group,GeoRM DWG,Geospatial Rights Management Domain Working Group,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info150,osgeo-review:Review150,ldapi150-json,https://osgeo.geolexica.org/api/ldapi/150.json,ldapi150-jsonld,https://osgeo.geolexica.org/api/ldapi/150.jsonld,ldapi150-rdfxml,https://osgeo.geolexica.org/api/ldapi/150.rdf,ldapi150-skosrdf,https://osgeo.geolexica.org/api/ldapi/150.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,150
151,osgeo-concept:c151,skos:Concept,owl:NamedIndividual,Global Earth Observation System of Systems Pilot Project,GEOSS Pilot,Global Earth Observation System of Systems Pilot Project,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info151,osgeo-review:Review151,ldapi151-json,https://osgeo.geolexica.org/api/ldapi/151.json,ldapi151-jsonld,https://osgeo.geolexica.org/api/ldapi/151.jsonld,ldapi151-rdfxml,https://osgeo.geolexica.org/api/ldapi/151.rdf,ldapi151-skosrdf,https://osgeo.geolexica.org/api/ldapi/151.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,151
152,osgeo-concept:c152,skos:Concept,owl:NamedIndividual,Global Flood Awareness System,GloFAS,Global Flood Awareness System,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info152,osgeo-review:Review152,ldapi152-json,https://osgeo.geolexica.org/api/ldapi/152.json,ldapi152-jsonld,https://osgeo.geolexica.org/api/ldapi/152.jsonld,ldapi152-rdfxml,https://osgeo.geolexica.org/api/ldapi/152.rdf,ldapi152-skosrdf,https://osgeo.geolexica.org/api/ldapi/152.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,152
153,osgeo-concept:c153,skos:Concept,owl:NamedIndividual,Global Navigational Satellite System,GNSS,Global Navigational Satellite System,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info153,osgeo-review:Review153,ldapi153-json,https://osgeo.geolexica.org/api/ldapi/153.json,ldapi153-jsonld,https://osgeo.geolexica.org/api/ldapi/153.jsonld,ldapi153-rdfxml,https://osgeo.geolexica.org/api/ldapi/153.rdf,ldapi153-skosrdf,https://osgeo.geolexica.org/api/ldapi/153.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,153
154,osgeo-concept:c154,skos:Concept,owl:NamedIndividual,Global Open Data for Agriculture and Nutrition,GODAN,Global Open Data for Agriculture and Nutrition,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info154,osgeo-review:Review154,ldapi154-json,https://osgeo.geolexica.org/api/ldapi/154.json,ldapi154-jsonld,https://osgeo.geolexica.org/api/ldapi/154.jsonld,ldapi154-rdfxml,https://osgeo.geolexica.org/api/ldapi/154.rdf,ldapi154-skosrdf,https://osgeo.geolexica.org/api/ldapi/154.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,154
155,osgeo-concept:c155,skos:Concept,owl:NamedIndividual,Global Positioning System,GPS,Global Positioning System,,system by means of which it is possible to approximately calculate a position in the Earth using a signal received from several satellites simultaneously,,,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,,osgeo-info:Info155,osgeo-review:Review155,ldapi155-json,https://osgeo.geolexica.org/api/ldapi/155.json,ldapi155-jsonld,https://osgeo.geolexica.org/api/ldapi/155.jsonld,ldapi155-rdfxml,https://osgeo.geolexica.org/api/ldapi/155.rdf,ldapi155-skosrdf,https://osgeo.geolexica.org/api/ldapi/155.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,155
156,osgeo-concept:c156,skos:Concept,owl:NamedIndividual,Global Spatial Data Infrastructure,GSDI,Global Spatial Data Infrastructure,,Definition not provided in this language.,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info156,osgeo-review:Review156,ldapi156-json,https://osgeo.geolexica.org/api/ldapi/156.json,ldapi156-jsonld,https://osgeo.geolexica.org/api/ldapi/156.jsonld,ldapi156-rdfxml,https://osgeo.geolexica.org/api/ldapi/156.rdf,ldapi156-skosrdf,https://osgeo.geolexica.org/api/ldapi/156.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,156
157,osgeo-concept:c157,skos:Concept,owl:NamedIndividual,Global Spatial Data infrastructure Association,GSDI Association,Global Spatial Data infrastructure Association,,Definition not provided in this language.,Note to entry: GSDI was dissolved as a legal entity in October 2018.,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info157,osgeo-review:Review157,ldapi157-json,https://osgeo.geolexica.org/api/ldapi/157.json,ldapi157-jsonld,https://osgeo.geolexica.org/api/ldapi/157.jsonld,ldapi157-rdfxml,https://osgeo.geolexica.org/api/ldapi/157.rdf,ldapi157-skosrdf,https://osgeo.geolexica.org/api/ldapi/157.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,157
158,osgeo-concept:c158,skos:Concept,owl:NamedIndividual,globally unique identifier,GUID,globally unique identifier,,128-bit number used to identify information in computer systems,Note to entry: also referred to as a universally unique identifier,,,,,,,,osgeo-info:Info158,osgeo-review:Review158,ldapi158-json,https://osgeo.geolexica.org/api/ldapi/158.json,ldapi158-jsonld,https://osgeo.geolexica.org/api/ldapi/158.jsonld,ldapi158-rdfxml,https://osgeo.geolexica.org/api/ldapi/158.rdf,ldapi158-skosrdf,https://osgeo.geolexica.org/api/ldapi/158.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,158
159,osgeo-concept:c159,skos:Concept,owl:NamedIndividual,GML in JPEG 2000,,GML in JPEG 2000,,OGC standard that defines how GML is used in JPEG 2000 images,,,,,,https://www.opengeospatial.org/acronyms,,,osgeo-info:Info159,osgeo-review:Review159,ldapi159-json,https://osgeo.geolexica.org/api/ldapi/159.json,ldapi159-jsonld,https://osgeo.geolexica.org/api/ldapi/159.jsonld,ldapi159-rdfxml,https://osgeo.geolexica.org/api/ldapi/159.rdf,ldapi159-skosrdf,https://osgeo.geolexica.org/api/ldapi/159.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,159
160,osgeo-concept:c160,skos:Concept,owl:NamedIndividual,GNU General Public License,GPL,GNU General Public License,,"free, copyleft license for software and other kinds of works",Note to entry: GeoNetwork opensource is released under the GPL 2 license.,,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,,osgeo-info:Info160,osgeo-review:Review160,ldapi160-json,https://osgeo.geolexica.org/api/ldapi/160.json,ldapi160-jsonld,https://osgeo.geolexica.org/api/ldapi/160.jsonld,ldapi160-rdfxml,https://osgeo.geolexica.org/api/ldapi/160.rdf,ldapi160-skosrdf,https://osgeo.geolexica.org/api/ldapi/160.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,160
161,osgeo-concept:c161,skos:Concept,owl:NamedIndividual,Google Summer of Code,GSoC,Google Summer of Code,,Definition not provided in this language.,,,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,,osgeo-info:Info161,osgeo-review:Review161,ldapi161-json,https://osgeo.geolexica.org/api/ldapi/161.json,ldapi161-jsonld,https://osgeo.geolexica.org/api/ldapi/161.jsonld,ldapi161-rdfxml,https://osgeo.geolexica.org/api/ldapi/161.rdf,ldapi161-skosrdf,https://osgeo.geolexica.org/api/ldapi/161.ttl,osgeo:OSGeoConceptScheme,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,161
