id,label,note
879,domain (general vocabulary),Note 1 to entry: Adapted from ISO 12620:1999
879,domain (general vocabulary),"Note 2 to entry: Within a database or other terminology collection, a set of domains will generally be defined. More than one domain can be associated with a given concept."
880,domain concept,Note to entry: A concept may be associated with several domains and separately identified as a domain concept in relation to each.
882,general concept,"Note to entry: Examples of general concepts are ""planet"", ""tower""."
884,generic concept system,Note to entry: Adapted from ISO 12620:1999
885,generic relation,"Note to entry: A generic relation exists between the concepts ""word"" and ""pronoun"", ""vehicle"" and ""car"", ""person"" and ""child""."
886,genus-species relation,"Note to entry: A generic relation exists between the concepts ""word"" and ""pronoun"", ""vehicle"" and ""car"", ""person"" and ""child""."
887,homonymy,"Note 1 to entry: An example of homonymy is: bark 1 ""sound made by a dog"" 2 ""outside covering of the stem of woody plants"" 3 ""sailing vessel"""
887,homonymy,Note 2 to entry: The designations in the relation of homonymy are called homonyms.
889,monosemy,Note to entry: The designations in the relation of monosemy are called monosemes.
891,partitive relation,"Note to entry: A partitive relation exists between the concepts ""week"" and ""day"", ""molecule"" and ""atom""."
892,part-whole relation,"Note to entry: A partitive relation exists between the concepts ""week"" and ""day"", ""molecule"" and ""atom""."
893,polysemy,"Note 1 to entry: An example of polysemy is: bridge 1 ""structure to carry traffic over a gap"" 2 ""part of a string instrument"" 3 ""dental plate"""
893,polysemy,Note 2 to entry: The designation in the relation of polysemy are called polysemes.
896,synonymy,"Note 1 to entry: The relation of synonymy exists, for example, between deuterium and heavy hydrogen."
896,synonymy,"Note 2 to entry: Terms which are interchangeable in all contexts are called synonyms; if they are interchangeable only in some contexts, they are called quasi-synonyms."
900,terminological data,"Note to entry: The more common terminological data include entry term, definition, note, grammatical label, subject label, language identifier, country identifier and source identifier. "
903,vocabulary,"Note to entry: The vocabulary may be monolingual, bilingual or multilingual."
904,resolution (coordinate),Note to entry: Coordinate resolution may have linear or angular units depending on the characteristics of the coordinate system
905,sexagesimal degree,"Note to entry: In the case of latitude or longitude, it may also include a character indicating hemisphere"
907,concept harmonization,Note to entry: The purpose of concept harmonisation is to improve communication
908,designation,"Note to entry: In terminology work, three types of designations are distinguished: symbols, appellations and terms."
909,designator,"Note to entry: In terminology work three types of designations are distinguished: symbols, appellations and terms"
911,language,"Note to entry: In this Technical Specification, language refers to natural language or special languages but not programming languages or artificial languages unless specifically identified"
916,data compaction,"Note 1 to entry: Whereas data compaction reduces the amount of data used to represent a given amount of information, data compression does not."
916,data compaction,"Note 2 to entry: Data compaction can be done through aggregation of like values in adjacent grid cells, tiling schemes or other means of eliminating information that is not relevant."
918,matrix,Note to entry: A matrix is a mathematical term
925,aperture reference point,Note to entry: It is usually expressed in ECEF coordinates in metres.
927,azimuth resolution (SAR),"Note to entry: This is usually measured in terms of the impulse response of the SAR sensor and processing system. It is a function of the size of the synthetic aperture, or alternatively the dwell time (i.e. a larger aperture results in a longer dwell time results in better resolution)."
928,beam width (SAR),Note to entry: Beam width is usually measured in radians and as the angular width between two points that have 50% of the power (3 dB below) of the centre of the beam. It is a property of the antenna. Power emitted outside of this angle is too little to provide a usable return.
947,ground range (SAR),"Note to entry: Ground range of an image is represented by the distance from the nadir point of the antenna to a point in the scene. Usually measured in the horizontal plane, but can also be measured as true distance along the ground, DEM, geoid or ellipsoid surface."
952,image-identifiable ground control point,"Note to entry: The ground control point may be marked in the image, or the user may be provided with an unambiguous description of the ground control point so that it can be found in the image."
955,layover,"Note to entry: The effect makes buildings “lay over” onto the ground toward the sensor velocity vector, akin to perspective views in projective imagery."
968,scan mode,Note to entry: Steering the antenna also allows dwell time to be increased and provides the ability to collect strips at angles non-parallel to the flight direction and with better resolution than Stripmap mode.
974,spotlight mode (SAR),Note to entry: Spotlight mode provides the ability to collect higher resolution SAR data over relatively smaller patches of ground surface.
991,Doppler shift,"Note to entry: In the SAR context, it is the frequency shift imposed on a radar signal due to relative motion between the transmitter and the object being illuminated."
994,fiducial mark,Note to entry: When a camera is calibrated the distances between fiducial marks are precisely measured and assigned coordinates that assist in correcting for film distortion.
996,geopositioning,"Note to entry: While there are many methods for geopositioning, this Technical Specification is focused on geopositioning from image coordinates"
999,ground reference point,Note to entry: It is usually the centre point of an image (Spotlight) or an image line (Stripmap). It is usually expressed in ECEF coordinates in metres
1000,ground sampling distance,Note to entry: This definition also applies for water surfaces.
1010,range resolution,"Note to entry: For a SAR sensor, it is usually measured in terms of the impulse response of the sensor and processing system. It is a function of the bandwidth of the pulse."
1028,land use,"Note to entry: The definition of land use in this way establishes a direct link between land cover and the actions of people in their environment. Multiple land uses can coexist at the same location (e.g. forestry and recreation), contrary to land cover classes that are mutually exclusive."
1029,literal value,Note to entry: This contrasts with a value that is determined by resolving a chain of substitution (e.g. a variable)
1042,response model,Note to entry: This is the schema of feature types that a client can obtain using the DescribeFeatureType operation (see Clause 9).
1063,domain feature,"Note to entry: This may be contrasted with observations and sampling features, which are features of types defined for cross-domain purposes."
1073,linear element,Note to entry: Also known as curvilinear element.
1102,quality,"Note to entry: For the purposes of this Technical Specification the quality characteristics of product include: Data quality (the elements of which are described by ISO 19157), Volume of delivery, Schedule of delivery, and Cost of production and/or update."
1111,sub-process,Note to entry: Sub-processes can be broken down even further as is deemed necessary to control the quality of the process.
1118,data compression,Note 1 to entry: Adapted from ANSI T1.523-2001.
1118,data compression,"Note 2 to entry: Data compression is probabilistic in nature based on particular instances of imagery, gridded or coverage data and is related to encoding and is outside the scope of this Technical Specification."
1122,gimbal,Note to entry: An object mounted on a three-ring gimbal will remain horizontally suspended on a plane between the rings regardless as to the stability of the base.
1123,gyroscope,"Note to entry: The rotor spins on a fixed axis while the structure around it rotates or tilts. In airplanes, the pitch and orientation of the airplane is measured against the steady spin of the gyroscope. In space, where the four compass points are meaningless, the gyroscope's axis of rotation is used as a reference point for navigation. An inertial navigation system includes three gimbal-mounted gyroscopes, used to measure roll, pitch, and yaw."
1124,Synthetic Aperture Radar,Note to entry: The electromagnetic radiation is at microwave frequencies and is sent in pulses.
1125,stripmap mode (SAR),Note to entry: Doppler angle in processed products is fixed for all pixels. It provides the ability to collect SAR data over strips of land over a fixed swath of ground range parallel to the direction of flight.
1144,association (UML),Note to entry: A binary association is an association among exactly two classifiers (including the possibility of an association from a classifier to itself).
1153,dependency (UML),"Note to entry: A model is an instance of a metamodel, and a metamodel is an instance of a meta-metamodel."
1156,realization (UML),Note to entry: Realization indicates inheritance of behaviour without inheritance of structure.
1169,attribute event,Note 1 to entry: An attribute event includes the linearly referenced location where the attribute value applies along the attributed feature
1169,attribute event,"Note 2 to entry: An attribute event may be qualified by the instant in which, or period during which, the attribute value applied"
1171,feature event,Note 1 to entry: A feature event includes the linearly referenced location of the located feature along the locating feature.
1171,feature event,"Note 2 to entry: A feature event may be qualified by the instant in which, or period during which, the feature event occurred."
1172,linear referencing,Note to entry: An alternative to specifying a location as a two- or three- dimensional spatial position.
1173,linear segment,Note 1 to entry: A linear segment is a one-dimensional object without explicit geometry.
1173,linear segment,Note 2 to entry: The implicit geometry of the linear segment can be derived from the geometry of the parent feature.
1174,linearly located event,Note 1 to entry: The event location is specified using linearly referenced locations.
1174,linearly located event,"Note 2 to entry: A linearly located event may be qualified by the instant in which, or period during which, the linearly located event occurred."
1174,linearly located event,Note 3 to entry: ISO 19108 limits events to a single instant in time and does not include the specification of a location.
1178,spatial position,Note to entry: An alternative to specifying a location as a linearly referenced location.
1211,authorization,"Note to entry: Usually, authorization is in the context of authentication. Once a subject is authenticated, it can be authorized to perform different types of access."
1212,bypass,"Note to entry: Security systems are bypassed usually by using security faults in the operating system. Such infringements are more an aspect of the operating system than of the security system. To correct this, the relationship between the security system and the operating system shall be modified to prevent bypass mechanisms."
1213,chain of agency,"Note to entry: A chain of agency, with the proper agreements at each step creates a transitive agency between the agent of the first link and the principal of the last. This chain can be spoken of in either direction, either as “principal -> agent = principal -> agent” (normal or granting order) or “agent -> principal = agent -> principal” (reverse, acceptance, verification or tracing order)."
1214,chain of licence,"Note to entry: As with the chain of agency, this chain can be spoken of in either direction."
1216,copyleft,Note to entry: A copyleft is a form of general public licence.
1217,digital licence,"Note to entry: The core concept in DRM is the use of digital licences. Instead of buying the digital content, the consumer purchases a licence granting certain rights with respect to the content. A licence is the mechanism by which a rights holder conveys rights to another party, such as a consumer or distributor."
1218,digital rights management,"Note to entry: DRM covers a much broader spectrum of capabilities and underlying technologies supporting description, identification, trading, protecting, monitoring, and tracking of all forms of rights usages for both tangible and intangible (electronic) assets, including the management of rights-holders relationships. See, for example, Reference [5][of ISO 19153:2014 - Iannella R. Digital Rights Management (DRM) Architectures. D-Lib. 2001 June, 7 (6) Available at: http://www.dlib.org/dlib/june01/iannella/06iannella.html]. “Digital” refers to the material over which the rights exist. “Rights” applies to the Intellectual Property rights linked to the material. “Management” covers both the defining of policy and enforcing that policy in such a way that rights are respected. The ultimate goal of a distributed DRM system is for content authors to be able to project policies governing their content into remote environments with confidence that those policies will be respected by the remote nodes. For the purposes of this International Standard, DRM is taken to mean technology that enables the secure distribution (and where appropriate, sale) of digital media content on the Internet."
1219,expected risk,"Note to entry: Expected risk is calculated by multiplying the probability of the types of infringement by the cost of that infringement, summed up over all types of infringement."
1220,fair use,Note to entry: Fair use is based on case-law precedents derived from general principles. The term is often misapplied to refer to the reasonable expectations of consumers to be able to use purchased content on all owned devices.
1221,general public licence,"Note 1 to entry: GPLs can be granted by the owner of a resource or can be applied to a resource by law, usually as part of the copyright law. The most obvious GPL concept is fair use in the United States for copyrighted material. Other GPL rights can be demanded by the source of the resource or other “public good” considerations."
1221,general public licence,"Note 2 to entry: The most widespread use of GPL is in reference to the GNU GPL, which is commonly abbreviated simply as GPL when it is understood that the term refers to the GNU GPL. One of the basic tenets of the GPL is that anyone who acquires the material shall make it available to anyone else under the same licensing agreement. The GPL does not cover activities other than the copying, distributing, and modifying of the source code. A GPL is also referred to as a copyleft, in contrast to a copyright, which identifies the proprietary rights of material."
1222,GeoDRM enabled,Note to entry: Applied to processing resources.
1227,infringement (of a licence),"Note to entry: Infringement of a licence will require the DRM system to be bypassed in some manner. If licences can be infringed without bypassing the DRM system, then the system is not sufficient."
1228,infringement (of a right),"Note to entry: Infringement of a right is a fault in the DRM system. If rights can be infringed without bypassing the DRM system, then the system is not properly restricted to that which is necessary."
1229,joint ownership,"Note to entry: In this case, the principal as owner is a principal group, i.e. a group of other principals."
1230,lease,"Note to entry: During this period, the resource is only available to the lessee. Temporal constraints are required for downstream use."
1232,licence,"Note to entry: A licence represents, but is not, a contract that grants a party explicit rights to use Intellectual Property."
1233,licence extents,"Note to entry: The extent can be described in spatial, temporal. or any other parameter range appropriate to the rights described in the licence."
1237,licensor,Note to entry: The licensor is a content owner or a licensing agent.
1240,necessary,Note to entry: All aspects of a DRM system are necessary if they do not prevent legitimate requests from execution.
1242,party,"Note 1 to entry: In order to be registered as a party, not all members need to be identified and registered individually."
1242,party,Note 2 to entry: A basic administrative unit may be a party because it may hold a right of e.g. easement.
1243,payment provider,"Note to entry: Payment providers can be telephone and cellular companies, banks, credit card corporations, ISPs, network operators, and utility companies. The payment provider bills the consumer, deducts a fee, and forwards the payment to the content provider. The payment provider is thus responsible for the balancing of accounts."
1244,persistent protection mechanism,"Note to entry: Persistent protection mechanisms involve authentication, authorization, and encryption technologies for effectively locking digital contents and limiting distribution to those who pay."
1245,principal,"Note to entry: These two terms [principal and party] are used as near synonyms from ORDL and ISO 21010. There will be no distinction between these two terms made here, but there can be distinctions in legal documents depending on local laws."
1248,resource (GeoDRM),"Note to entry: In general, a resource is data, metadata (a type of data describing other resources), or some service or process that can be invoked on other resources. Licences describe rights on resources and, as such, are resources in themselves."
1249,remediation,Note to entry: Remediation allows more trust because it lowers expected risk. The first act in a remediation sequence is detection of the fault.
1250,right (GeoDRM),Note to entry: A right specifies an action (or activity) or a class of actions that a principal can perform on or using the associated resource. A right is essentially a legally recognized entitlement to do something to or with the content of a resource.
1251,rights holder,"Note to entry: Rights can be by law (copyright), by agreement, or by contract [the licence agreement]. In the case of digital commerce, DRM ensures that licences are adhered to, and that rights holders are compensated as appropriate for each transaction. Agents of the original rights holder can also issue licences, but their ability is only under the agency contract to the original principal."
1254,sublicence,Note to entry: This is essentially the right to loan one's licence to another principal.
1256,sufficient,"Note to entry: A sufficient DRM system would have to be bypassed if an infringement would be possible. Proof of sufficiency can be difficult because it can be dependent on an ""attack model"", which describes the sorts of attacks to which the system is immune."
1258,trust,"Note to entry: Trust allows the owner [or his agent] to act with a higher potential risk because the expected risk has been lowered. This is slightly different from the plain language of trust. Normally, trust requires something, but if the principal at risk decides that no risk exists, then trust exists (in the sense here) because risk has been reduced, whatever the reason."
1269,portrayal function,Note to entry: Portrayal functions can also include parameters and other computations that are not dependent on geographic feature properties.
1278,error propagation,Note to entry: Error propagation is governed by the mathematical function relating the derived quantity to the quantities from which it was derived.
1289,boundary face string,"Note to entry: Boundary face strings are used to represent the boundaries of spatial units by means of line strings in 2D. This 2D representation is a 2D boundary in a 2D land administration system. In a 3D land administration system it represents a series of vertical boundary faces where an unbounded volume is assumed, surrounded by boundary faces which intersect the Earth’s surface (such as traditionally depicted in the cadastral map)."
1290,building unit,Note to entry: A building unit may be used for different purposes (e.g. living or commercial) or it can be under construction.
1293,converter,Note to entry: The resource can be a device or software.
1298,item,"Note to entry: An item can be any part of a data set, such as a feature, feature relationship, feature attribute, or combination of these."
1299,join predicate,"Note to entry: In this International Standard, the entity types are resource types."
1300,land administration,"Note to entry: In many countries, land administration information is determined, recorded and disseminated under the umbrella of cadastre and land registry. Both institutions can be unified in a single (state) organization."
1312,property type,Note 1 to entry: The value for an instance of an observable property type can be estimated through an act of observation.
1312,property type,"Note 2 to entry: In chemistry-related applications, the term “determinand” or “analyte” is often used."
1312,property type,Note 3 to entry: Adapted from ISO 19109:2005.
1318,spatial unit group,Note to entry: The spatial units in a spatial unit group are not necessarily continuous.
1322,parameterized feature portrayal function,Note to entry: A parameterized feature portrayal function passes the relevant attribute values from the feature instance for use as input to the parameterized symbol.
1323,parameterized symbol,Note to entry: The dynamic parameters map to the attribute values of each feature instance being portrayed.
1324,portrayal catalogue,"Note to entry: Content of a portrayal catalogue includes portrayal functions, symbols, and portrayal context (optional)."
1325,portrayal context,Note to entry: Portrayal context can influence the selection of portrayal functions and construction of symbols.
1327,portrayal rule,Note to entry: A declarative language is rule-based and includes decision and branching statements.
1329,symbol set,Note to entry: Not 1 to entry: Symbol sets are usually designed for a community of interest to portray information of interest to the community.
1330,customer,Note to entry: The customer can be internal or external to the supplier organisation.
1331,process,Note to entry: The process may be broken down further into elemental activities [sub process]as is deemed necessary to control the quality of the process.
1332,supplier,Note 1 to entry: The supplier can be internal or external to the customer organization.
1332,supplier,"Note 2 to entry: In the context of this Technical Specification, the supplier has provided a product via a process that can have some impact on quality."
1333,join tuple,"Note to entry: In this International Standard, the object instances will be feature instances."
1334,local resource,"Note to entry: In this International Standard, the system is a web feature service and the resource is held in a data store that is directly controlled by that service."
1335,locator attribute,"Note to entry: In XML, this attribute is commonly called an href and contains a URI reference to the remote resource (see W3C XLink)"
1337,Place Identifier,Note to entry: The same place may be referenced by multiple Place Identifier instances. Each instance will be associated with a different reference system.
1339,Place Identifier matching,Note 1 to entry: A source PI can be matched with multiple target Place Identifiers.
1339,Place Identifier matching,"Note 2 to entry: PI matching can be made among coordinates, geographic identifiers and identifiers in the virtual world such as URI."
1341,remote resource,"Note to entry: In this International Standard, the system is a web feature service. The resource is not held in any data store that is directly controlled by that service and thus cannot be directly retreived by the service."
1342,resolve,Note to entry: The insertion may be accomplished by either replacing the reference inline with a copy of the resource or by relocating the reference to point to a copy of the resource that has been placed in the response document.
1351,Semantic Web,Note to entry: The association of meaning allows data and information to be understood and processed by automated tools as well as by people.
1359,boundary face,"Note to entry: Boundary faces are used when the implied vertical and unbounded faces of a boundary face string are not sufficient to describe 3D spatial units. Boundary faces close volumes in height (e.g. every apartment floor), or in depth (e.g. an underground parking garage), or in all other directions to form a bounded volume. The volumes represent legal space (in contrast with physical space)."
1362,required relationship,"Note 1 to entry: Due to legal aspects, history of data, inaccurate geometries or missing geometries, geospatial overlay techniques may generate invalid, or no relationships between spatial units, which can be introduced by required relationships."
1362,required relationship,Note 2 to entry: Relationships for spatial units may be defined with ISO 19125-2 types.
1363,spatial unit,Note 1 to entry: A single area is the norm and multiple areas are the exception.
1363,spatial unit,Note 2 to entry: Spatial units are structured in a way to support the creation and management of basic administrative units.
1363,spatial unit,"Note 3 to entry: This International Standard [ISO 19152:2012] supports either 2-dimensional (2D), 3-dimensional (3D), or mixed (2D and 3D) representations of spatial units, which may be described in text (“from this tree to that river”), or based on a single point, or represented as a set of unstructured lines, or as a surface, or as a 3D volume."
1363,spatial unit,"Note 4 to entry: In addition to spatial units represented by a single point, text, or a set of unstructured lines, a spatial unit may have an area equal to zero for administrative reasons."
1376,grid coordinate reference system,"Note to entry: A grid CRS uses a defined coordinate system with the same grid point positions and origin as the GridEnvelope, with the same axisLabels, but need not define any limits on the grid size. This coordinate system is sometimes called the internal grid coordinate system."
1384,depression angle,Note to entry: Approximately the complement of the look angle
1388,field of view,"Note to entry: In the airborne case, this would be swath width for a linear array, ground footprint for an area array, and for a whiskbroom scanner it refers to the swath width."
1390,frame (LIDAR),"Note to entry: A complete 3D data sample of the world produced by a LIDAR taken at a certain time, place, and orientation. A single LIDAR frame is also referred to as a range image."
1391,geiger mode,Note to entry: These detectors exist in the form of arrays and are bonded with electronic circuitry. The electronic circuitry produces a measurement corresponding to the time at which the current was generated; resulting in a direct time-of-flight measurement. A LIDAR that employs this detector technology typically illuminates a large scene with a single pulse. The direct time-of-flight measurements are then combined with platform location/attitude data along with pointing information to produce a three-dimensional product of the illuminated scene of interest. Additional processing is applied which removes existing noise present in the data to produce a visually exploitable data set.
1395,image coordinates,Note to entry: The image coordinates can be in pixels or in a measure of length (linear measure).
1397,intensity,"Note to entry: Typically for LIDAR, sufficient calibration has not been done to calculate absolute intensity, so relative intensity is usually reported. In linear mode systems, this value is typically provided as an integer, resulting from a mapping of the return’s signal power to an integer value via a lookup table."
1400,light detection and ranging,"Note to entry: Time of flight (TOF) LIDARs use short laser pulses and precisely record the time each laser pulse was emitted and the time each reflected return(s) is received in order to calculate the distance(s) to the scatterer(s) encountered by the emitted pulse. For topographic LIDAR, these time-of-flight measurements are then combined with precise platform location/attitude data along with pointing data to produce a three-dimensional product of the illuminated scene of interest."
1401,linear mode,Note to entry: A LIDAR system which employs this technology typically uses processing techniques to develop the time-of-flight measurements from the full waveform that is reflected from the targets in the illuminated scene of interest. These time-of-flight measurements are then combined with precise platform location/attitude data along with pointing data to produce a three-dimensional product of the illuminated scene of interest.
1402,look angle,Note to entry: It is approximately the complement of the depression angle.
1406,phase history data,"Note to entry: Usually stored as a series of range lines, each containing information from a specific range bin. PHD can be thought of as a table of five columns: In-phase signal, Quadrature signal, Range, Doppler Angle, and Time."
1408,point cloud,Note to entry: The distance between points is generally non-uniform and hence all three coordinates (Cartesian or spherical) for each point must be specifically encoded.
1413,return (LIDAR),Note to entry: There may be multiple returns for a given emitted laser pulse.
1416,sidescan SONAR,Note 1 to entry: Sidescan SONAR is used for imaging bottom features and targets in a wide variety of water depths.
1416,sidescan SONAR,Note 2 to entry: This includes synthetic aperture sidescan SONAR.
1417,single beam SONAR,Note to entry: Single beam sonar is commonly called a single beam echosounder (abbr: SBES).
1420,squat,Note 1 to entry: The effect is a result of Bernoulli's principle of fluid dynamics. The squat represents the increase in effective draught.
1420,squat,"Note 2 to entry: For a ship underway, the change of level of the bow and stern from the still water condition in response to the elevation and depression of the water level about the hull resulting from the bow and stern wave systems."
1421,stare,"Note to entry: This applies to a HARLIE transceiver, based on a volume phase holographic optical element."
1422,swath (LIDAR),"Note to entry: A typical mapping mission may consist of multiple adjacent swaths, with some overlap, and the operator will turn off the laser while the aircraft is oriented for the next swath. This term may also be referred to as a Pass."
1423,sweep SONAR,Note to entry: Sweep sounding is commonly called multi-channel echosounding (MCES).
1426,transmitter,Note to entry: Transmitter is also called projector in multibeam echosounding.
1427,topographic LIDAR,Note to entry: Generally referring to an airborne LIDAR system
1429,video phase history data,"Note to entry: Usually stored as a series of range lines, each containing information from a specific range bin. PHD can be thought of as a table of five columns: In-phase signal, Quadrature signal, Range, Doppler Angle, and Time."
1432,reference model,Note to entry: A reference model is based on a small number of unifying concepts and can be used as a basis for education and explaining standards to a non-specialist.
1434,Web service,Note to entry: A Web service usually includes some combination of programming and data. It can also include human resources.
1441,ex-situ,Note to entry: Opposite of in-situ.
1443,sampling feature,"Note to entry: A sampling feature is an artefact of the observational strategy, and has no significance independent of the observational campaign."
1448,calibration curve,Note to entry: A calibration curve expresses a one-to-one relation that does not supply a measurement result as it bears no information about the measurement uncertainty.
1449,correction,"Note 1 to entry: See ISO/IEC Guide 98-3:2008, 3.2.3, for an explanation of ""systematic effect""."
1449,correction,"Note 2 to entry: The compensation can take different forms, such as an addend or a factor, or can be deduced from a table."
1450,dark current,Note to entry: For calibration of optical sensors dark current is measured by the absence of incident optical radiation.
1452,dark signal non uniformity,Note to entry: This activation is mostly caused by imperfection of the detector.
1455,error,"Note 1 to entry: The concept of ""measurement error"" can be used both a) when there is a single reference quantity value to refer to, which occurs if a calibration is made by means of a measurement standard with a measured quantity value having a negligible measurement uncertainty or if a conventional quantity value is given, in which case the measurement error is known, and b) if a measurand is supposed to be represented by a unique true quantity value or a set of true quantity values of negligible range, in which case the measurement error is not known."
1455,error,Note 2 to entry: Measurement error should not be confused with production error or mistake.
1456,error of measurement,"Note 1 to entry: The concept of ""measurement error"" can be used both a) when there is a single reference quantity value to refer to, which occurs if a calibration is made by means of a measurement standard with a measured quantity value having a negligible measurement uncertainty or if a conventional quantity value is given, in which case the measurement error is known, and b) if a measurand is supposed to be represented by a unique true quantity value or a set of true quantity values of negligible range, in which case the measurement error is not known."
1456,error of measurement,Note 2 to entry: Measurement error should not be confused with production error or mistake.
1460,irradiance,Note to entry: The SI unit is watts per square meter (W/m2)
1463,measurement error,"Note 1 to entry: The concept of ""measurement error"" can be used both a) when there is a single reference quantity value to refer to, which occurs if a calibration is made by means of a measurement standard with a measured quantity value having a negligible measurement uncertainty or if a conventional quantity value is given, in which case the measurement error is known, and b) if a measurand is supposed to be represented by a unique true quantity value or a set of true quantity values of negligible range, in which case the measurement error is not known."
1463,measurement error,Note 2 to entry: Measurement error should not be confused with production error or mistake.
1465,measurement precision,"Note 1 to entry: Measurement precision is usually expressed numerically by measures of imprecision, such as standard deviation, variance, or coefficient of variation under the specified conditions of measurement."
1465,measurement precision,"Note 2 to entry: The ""specified conditions"" can be, for example, repeatability conditions of measurement, intermediate precision conditions of measurement, or reproducibility conditions of measurement (see ISO 5725-3)."
1465,measurement precision,"Note 3 to entry: Measurement precision is used to define measurement repeatability, intermediate measurement precision, and measurement reproducibility."
1465,measurement precision,"Note 4 to entry: Sometimes ""measurement precision"" is erroneously used to mean measurement accuracy."
1468,metrological traceability chain,Note 1 to entry: A metrological traceability chain is defined through a calibration hierarchy.
1468,metrological traceability chain,Note 2 to entry: A metrological traceability chain is used to establish metrological traceability of a measurement result.
1468,metrological traceability chain,"Note 3 to entry: A comparison between two measurement standards may be viewed as a calibration if the comparison is used to check and, if necessary, correct the quantity value and measurement uncertainty attributed to one of the measurement standards."
1470,noise,Note to entry: Noise is a random fluctuation in a signal disturbing the recognition of a carried information.
1474,quantity,"Note 1 to entry: A reference can be a measurement unit, a measurement procedure, a reference material, or a combination of such."
1474,quantity,Note 2 to entry: Symbols for quantities are given in the ISO 80000 and IEC 80000 series Quantities and units. The symbols for quantities are written in italics. A given symbol can indicate different quantities.
1474,quantity,"Note 3 to entry: A quantity as defined here is a scalar. However, a vector or a tensor, the components of which are quantities, is also considered to be a quantity."
1474,quantity,"Note 4 to entry: The concept ""quantity"" may be generically divided into, e.g. ""physical quantity"", ""chemical quantity"", and ""biological quantity"", or ""base quantity"" and ""derived quantity""."
1481,standardization,"Note 1 to entry: In particular, the activity consists of the processes of formulating, issuing and implementing standards."
1481,standardization,"Note 2 to entry: Important benefits of standardization are improvement of the suitability of products, processes and services for their intended purposes, prevention of barriers to trade and facilitation of technological cooperation."
1483,traceability chain,Note 1 to entry: A metrological traceability chain is defined through a calibration hierarchy.
1483,traceability chain,Note 2 to entry: A metrological traceability chain is used to establish metrological traceability of a measurement result.
1483,traceability chain,"Note 3 to entry: A comparison between two measurement standards may be viewed as a calibration if the comparison is used to check and, if necessary, correct the quantity value and measurement uncertainty attributed to one of the measurement standards."
1486,verification,"Note 1 to entry: When applicable, measurement uncertainty should be taken into consideration."
1486,verification,"Note 2 to entry: The item may be, e.g. a process, measurement procedure, material, compound, or measuring system."
1486,verification,"Note 3 to entry: The specified requirements may be, e.g. that a manufacturer's specifications are met."
1486,verification,Note 4 to entry: Verification should not be confused with calibration. Not every verification is a validation.
1488,accessibility,"Note to entry: Accessibility is often associated with disabilities. According to the concept of universal design, accessibility is, however, a matter that permanently or temporarily is relevant to all of us, e.g. people with heavy luggage, people with broken legs, people with small children, elderly people, etc."
1489,accessibility information,"Note to entry: According to the concept of universal design, accessibility information should be addressed in a neutral way, i.e. not directed towards people with specific disabilities."
1492,journey,Note to entry: May consist of one or more journey segments.
1493,journey segment,"Note to entry: A journey segment may be carried out by means of a trip or a subset of a trip between locations that may be transfer nodes. A journey segment may also be road use (driving, walking and cycling)."
1502,trip,"Note 1 to entry: May follow a pre-defined trip pattern or the trip may be ad hoc according to specific mobility demands. Depending on the nature of the trip, it may start and stop at several transfer nodes."
1502,trip,"Note 2 to entry: A trip may serve many travellers, and the travellers may make use different part of a trip (e.g. different legs between different bus stops), and these parts may be whole journeys or journey segments."
1510,transport service,"Note to entry: This may be services supporting mobility (e.g. public transport services) or services such as luggage handling, assistance, etc."
1514,deviation,Note to entry: These may be deviations with respect to the time schedule or the accomplishment of the transport or deviations with respect to the services or facilities that are provided.
1515,facility,"Note to entry: Such facilities may be available on-board transport means during the transport, at arrivals to and at departures from a transfer node, and at transfer nodes."
1553,address component,Note 1 to entry: An address component may reference another object such as a spatial object (e.g. an administrative boundary or a land parcel) or a non-spatial object (e.g. an organization or a person).
1553,address component,"Note 2 to entry: An address component may have one or more alternative values, e.g. alternatives in different languages or abbreviated alternatives."
1557,parent address,Note to entry: Addresses of the child addressable objects fully inherit the address components of a parent address.
1560,field of regard,Note to entry: The field of regard is the area that is potentially able to be viewed by a system at an instant in time. It is determined by the system’s FOV and the range of directions in which the system is able to point.
1563,multibeam SONAR,Note to entry: Depths are measured directly below and transverse to the ship's track. The width of the swath is a function of the number of beams and their aperture.
1567,receiver,"Note to entry: In LIDAR and SONAR systems, the receiver detects and records reflected pulse returns."
1568,settlement,Note 1 to entry: Settlement is not an increase in displacement.
1568,settlement,Note 2 to entry: Settlement is measured as an angular tilt about the centre of gravity of the vessel.
1570,basic administrative unit,"Note 1 to entry: 'Unique' means that a right, restriction, or responsibility is held by one or more parties (e.g. owners or users) for the whole basic administrative unit. 'Homogeneous' means that a right, restriction or responsibility (e.g. ownership, use, social tenure, lease, or easement) affects the whole basic administrative unit. For a restriction, zero parties are a possibility."
1570,basic administrative unit,"Note 2 to entry: A basic administrative unit may play the role of party, e.g. when the right holder is a basic administrative unit (and not a person or organization)."
1570,basic administrative unit,"Note 3 to entry: A baunit should get a unique identifier when registered, or recorded."
1570,basic administrative unit,"Note 4 to entry: A baunit can consist of zero spatial units, when a registry exists, and not a cadastre."
1570,basic administrative unit,"Note 5 to entry: Restrictions and responsibilities can be associated with their own baunits, each with their own type of spatial unit."
1571,group party,Note to entry: A group party may be a party member of another group party.
1574,source,"Note to entry: Any kind of document may be added as a source according to ISO 19115:2003, B.3.2."
