dcterms:identifier,osgeo:termID,rdfs:label,osgeo:abbreviation,skos:prefLabel @en,skos:altLabel @en,rdf:type,rdf:type,osgeo:hasLDAPI,osgeo:jsonURI,osgeo:hasLDAPI,osgeo:jsonldURI,osgeo:hasLDAPI,osgeo:rdfxmlURI,osgeo:hasLDAPI,osgeo:rdfxmlURI2,skos:inScheme,osgeo:hasInfo,osgeo:hasReview,skos:definition @en,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo:hasSource,osgeo:example @en,osgeo:hasOrigin @anyURI,osgeo:hasOrigin,osgeo:classification,skos:notation
88,osgeo-concept:c88,Drawing eXchange Format,DXF,Drawing eXchange Format,,skos:Concept,owl:NamedIndividual,ldapi88-json,https://osgeo.geolexica.org/api/ldapi/88.json,ldapi88-jsonld,https://osgeo.geolexica.org/api/ldapi/88.jsonld,ldapi88-rdfxml,https://osgeo.geolexica.org/api/ldapi/88.rdf,ldapi88-skosrdf,https://osgeo.geolexica.org/api/ldapi/88.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info88,osgeo-review:Review88,CAD data file format developed by Autodesk for enabling data interoperability between AutoCAD and other programs,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,88
89,osgeo-concept:c89,Dublin Core,DC,Dublin Core,,skos:Concept,owl:NamedIndividual,ldapi89-json,https://osgeo.geolexica.org/api/ldapi/89.json,ldapi89-jsonld,https://osgeo.geolexica.org/api/ldapi/89.jsonld,ldapi89-rdfxml,https://osgeo.geolexica.org/api/ldapi/89.rdf,ldapi89-skosrdf,https://osgeo.geolexica.org/api/ldapi/89.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info89,osgeo-review:Review89,standardized metadata element set for cross-domain information resource description,Note to entry: Dublin Core provides a simple and standardised set of conventions for describing things online in ways that make them easier to find.,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,89
90,osgeo-concept:c90,DWG file,,DWG file,,skos:Concept,owl:NamedIndividual,ldapi90-json,https://osgeo.geolexica.org/api/ldapi/90.json,ldapi90-jsonld,https://osgeo.geolexica.org/api/ldapi/90.jsonld,ldapi90-rdfxml,https://osgeo.geolexica.org/api/ldapi/90.rdf,ldapi90-skosrdf,https://osgeo.geolexica.org/api/ldapi/90.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info90,osgeo-review:Review90,binary file format used for containing 2D and 3D design data,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,90
91,osgeo-concept:c91,Earth Observation,EO,Earth Observation,,skos:Concept,owl:NamedIndividual,ldapi91-json,https://osgeo.geolexica.org/api/ldapi/91.json,ldapi91-jsonld,https://osgeo.geolexica.org/api/ldapi/91.jsonld,ldapi91-rdfxml,https://osgeo.geolexica.org/api/ldapi/91.rdf,ldapi91-skosrdf,https://osgeo.geolexica.org/api/ldapi/91.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info91,osgeo-review:Review91,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,91
92,osgeo-concept:c92,Earth Observation and Environmental Modelling for the Mitigation of Health Risks,EO2heaven,Earth Observation and Environmental Modelling for the Mitigation of Health Risks,,skos:Concept,owl:NamedIndividual,ldapi92-json,https://osgeo.geolexica.org/api/ldapi/92.json,ldapi92-jsonld,https://osgeo.geolexica.org/api/ldapi/92.jsonld,ldapi92-rdfxml,https://osgeo.geolexica.org/api/ldapi/92.rdf,ldapi92-skosrdf,https://osgeo.geolexica.org/api/ldapi/92.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info92,osgeo-review:Review92,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,92
93,osgeo-concept:c93,Earth Observation Science,EOS,Earth Observation Science,,skos:Concept,owl:NamedIndividual,ldapi93-json,https://osgeo.geolexica.org/api/ldapi/93.json,ldapi93-jsonld,https://osgeo.geolexica.org/api/ldapi/93.jsonld,ldapi93-rdfxml,https://osgeo.geolexica.org/api/ldapi/93.rdf,ldapi93-skosrdf,https://osgeo.geolexica.org/api/ldapi/93.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info93,osgeo-review:Review93,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,93
94,osgeo-concept:c94,Earth Observing System and Data Information System,EOSDIS,Earth Observing System and Data Information System,,skos:Concept,owl:NamedIndividual,ldapi94-json,https://osgeo.geolexica.org/api/ldapi/94.json,ldapi94-jsonld,https://osgeo.geolexica.org/api/ldapi/94.jsonld,ldapi94-rdfxml,https://osgeo.geolexica.org/api/ldapi/94.rdf,ldapi94-skosrdf,https://osgeo.geolexica.org/api/ldapi/94.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info94,osgeo-review:Review94,NASA system that provides end-to-end capabilities for managing NASA Earth science data from various sources,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,94
95,osgeo-concept:c95,Earth System Science Domain Working Group,ESS DWG,Earth System Science Domain Working Group,,skos:Concept,owl:NamedIndividual,ldapi95-json,https://osgeo.geolexica.org/api/ldapi/95.json,ldapi95-jsonld,https://osgeo.geolexica.org/api/ldapi/95.jsonld,ldapi95-rdfxml,https://osgeo.geolexica.org/api/ldapi/95.rdf,ldapi95-skosrdf,https://osgeo.geolexica.org/api/ldapi/95.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info95,osgeo-review:Review95,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,95
96,osgeo-concept:c96,ebXML Registry Information Model,ebRIM,ebXML Registry Information Model,,skos:Concept,owl:NamedIndividual,ldapi96-json,https://osgeo.geolexica.org/api/ldapi/96.json,ldapi96-jsonld,https://osgeo.geolexica.org/api/ldapi/96.jsonld,ldapi96-rdfxml,https://osgeo.geolexica.org/api/ldapi/96.rdf,ldapi96-skosrdf,https://osgeo.geolexica.org/api/ldapi/96.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info96,osgeo-review:Review96,set of services that facilitate communication between companies using OASIS ebXML,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,EXAMPLE: OGC Catalog ebRIM Application Profile: Earth Observation Products.,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,96
97,osgeo-concept:c97,ebXML Registry Services and Protocols,ebRS,ebXML Registry Services and Protocols,,skos:Concept,owl:NamedIndividual,ldapi97-json,https://osgeo.geolexica.org/api/ldapi/97.json,ldapi97-jsonld,https://osgeo.geolexica.org/api/ldapi/97.jsonld,ldapi97-rdfxml,https://osgeo.geolexica.org/api/ldapi/97.rdf,ldapi97-skosrdf,https://osgeo.geolexica.org/api/ldapi/97.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info97,osgeo-review:Review97,OASIS standard that defines a set of services that enable sharing of content and metadata between organizational entities in a federated environment,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,97
98,osgeo-concept:c98,ellipsoid,,ellipsoid,reference ellipsoid,skos:Concept,owl:NamedIndividual,ldapi98-json,https://osgeo.geolexica.org/api/ldapi/98.json,ldapi98-jsonld,https://osgeo.geolexica.org/api/ldapi/98.jsonld,ldapi98-rdfxml,https://osgeo.geolexica.org/api/ldapi/98.rdf,ldapi98-skosrdf,https://osgeo.geolexica.org/api/ldapi/98.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info98,osgeo-review:Review98,(geodesy) geometric reference surface embedded in 3D Euclidean space formed by an ellipse that is rotated about a main axis,Note to entry:  For the Earth the ellipsoid is bi-axial with rotation about the polar axis. This results in an oblate ellipsoid with the midpoint of the foci located at the nominal centre of the Earth.,,,"ISO 19111:2019, 3.1.22",,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,98
99,osgeo-concept:c99,Emergency & Disaster Management Domain Working Group,EDM DWG,Emergency & Disaster Management Domain Working Group,,skos:Concept,owl:NamedIndividual,ldapi99-json,https://osgeo.geolexica.org/api/ldapi/99.json,ldapi99-jsonld,https://osgeo.geolexica.org/api/ldapi/99.jsonld,ldapi99-rdfxml,https://osgeo.geolexica.org/api/ldapi/99.rdf,ldapi99-skosrdf,https://osgeo.geolexica.org/api/ldapi/99.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info99,osgeo-review:Review99,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,99
100,osgeo-concept:c100,Enterprise Architecture,EA,Enterprise Architecture,,skos:Concept,owl:NamedIndividual,ldapi100-json,https://osgeo.geolexica.org/api/ldapi/100.json,ldapi100-jsonld,https://osgeo.geolexica.org/api/ldapi/100.jsonld,ldapi100-rdfxml,https://osgeo.geolexica.org/api/ldapi/100.rdf,ldapi100-skosrdf,https://osgeo.geolexica.org/api/ldapi/100.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info100,osgeo-review:Review100,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,100
101,osgeo-concept:c101,Enterprise Architecture Special Interest Group,EASIG,Enterprise Architecture Special Interest Group,,skos:Concept,owl:NamedIndividual,ldapi101-json,https://osgeo.geolexica.org/api/ldapi/101.json,ldapi101-jsonld,https://osgeo.geolexica.org/api/ldapi/101.jsonld,ldapi101-rdfxml,https://osgeo.geolexica.org/api/ldapi/101.rdf,ldapi101-skosrdf,https://osgeo.geolexica.org/api/ldapi/101.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info101,osgeo-review:Review101,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,101
102,osgeo-concept:c102,Enterprise Business XML,ebXML,Enterprise Business XML,,skos:Concept,owl:NamedIndividual,ldapi102-json,https://osgeo.geolexica.org/api/ldapi/102.json,ldapi102-jsonld,https://osgeo.geolexica.org/api/ldapi/102.jsonld,ldapi102-rdfxml,https://osgeo.geolexica.org/api/ldapi/102.rdf,ldapi102-skosrdf,https://osgeo.geolexica.org/api/ldapi/102.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info102,osgeo-review:Review102,OASIS standard that defines an XML format for sharing business information between companies,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,102
103,osgeo-concept:c103,Enterprise Java Beans.,EJB,Enterprise Java Beans.,,skos:Concept,owl:NamedIndividual,ldapi103-json,https://osgeo.geolexica.org/api/ldapi/103.json,ldapi103-jsonld,https://osgeo.geolexica.org/api/ldapi/103.jsonld,ldapi103-rdfxml,https://osgeo.geolexica.org/api/ldapi/103.rdf,ldapi103-skosrdf,https://osgeo.geolexica.org/api/ldapi/103.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info103,osgeo-review:Review103,Definition not provided in this language.,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,103
104,osgeo-concept:c104,Environmental Protection Agency,EPA,Environmental Protection Agency,,skos:Concept,owl:NamedIndividual,ldapi104-json,https://osgeo.geolexica.org/api/ldapi/104.json,ldapi104-jsonld,https://osgeo.geolexica.org/api/ldapi/104.jsonld,ldapi104-rdfxml,https://osgeo.geolexica.org/api/ldapi/104.rdf,ldapi104-skosrdf,https://osgeo.geolexica.org/api/ldapi/104.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info104,osgeo-review:Review104,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,104
105,osgeo-concept:c105,Environmental Systems Research Institute,ESRI,Environmental Systems Research Institute,,skos:Concept,owl:NamedIndividual,ldapi105-json,https://osgeo.geolexica.org/api/ldapi/105.json,ldapi105-jsonld,https://osgeo.geolexica.org/api/ldapi/105.jsonld,ldapi105-rdfxml,https://osgeo.geolexica.org/api/ldapi/105.rdf,ldapi105-skosrdf,https://osgeo.geolexica.org/api/ldapi/105.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info105,osgeo-review:Review105,"international supplier of geographic information system software, web GIS and geodatabase management applications",,,,https://wiki.osgeo.org/wiki/Starter_Dictionary,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,105
106,osgeo-concept:c106,EPSG code,,EPSG code,,skos:Concept,owl:NamedIndividual,ldapi106-json,https://osgeo.geolexica.org/api/ldapi/106.json,ldapi106-jsonld,https://osgeo.geolexica.org/api/ldapi/106.jsonld,ldapi106-rdfxml,https://osgeo.geolexica.org/api/ldapi/106.rdf,ldapi106-skosrdf,https://osgeo.geolexica.org/api/ldapi/106.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info106,osgeo-review:Review106,numeric codes defined by the EPSG associated with coordinate system definitions,Note to entry:  EPSG codes are published by the Oil and Gas Producers (OGP) Surveying and Positioning Committee. OGC WMS protocol uses EPSG codes to describe coordinate systems.,,,https://mapserver.org/glossary.html,"EXAMPLE  EPSG:4326 is geographic WGS84, and EPSG:32611 is “UTM zone 11 North, WGS84”.",https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,106
107,osgeo-concept:c107,European Center for Medium range Weather Forecasting,ECMWF,European Center for Medium range Weather Forecasting,,skos:Concept,owl:NamedIndividual,ldapi107-json,https://osgeo.geolexica.org/api/ldapi/107.json,ldapi107-jsonld,https://osgeo.geolexica.org/api/ldapi/107.jsonld,ldapi107-rdfxml,https://osgeo.geolexica.org/api/ldapi/107.rdf,ldapi107-skosrdf,https://osgeo.geolexica.org/api/ldapi/107.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info107,osgeo-review:Review107,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,107
108,osgeo-concept:c108,European Committee for Electrotechnical Standardization (ComitÃ© EuropÃ©en de Normalisation Ã‰lectrotechnique),CENELEC,European Committee for Electrotechnical Standardization (ComitÃ© EuropÃ©en de Normalisation Ã‰lectrotechnique),,skos:Concept,owl:NamedIndividual,ldapi108-json,https://osgeo.geolexica.org/api/ldapi/108.json,ldapi108-jsonld,https://osgeo.geolexica.org/api/ldapi/108.jsonld,ldapi108-rdfxml,https://osgeo.geolexica.org/api/ldapi/108.rdf,ldapi108-skosrdf,https://osgeo.geolexica.org/api/ldapi/108.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info108,osgeo-review:Review108,Definition not provided in this language.,,,,,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,108
109,osgeo-concept:c109,European Committee for Standardization (Comite Europeen de Normalisation),CEN,European Committee for Standardization (Comite Europeen de Normalisation),,skos:Concept,owl:NamedIndividual,ldapi109-json,https://osgeo.geolexica.org/api/ldapi/109.json,ldapi109-jsonld,https://osgeo.geolexica.org/api/ldapi/109.jsonld,ldapi109-rdfxml,https://osgeo.geolexica.org/api/ldapi/109.rdf,ldapi109-skosrdf,https://osgeo.geolexica.org/api/ldapi/109.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info109,osgeo-review:Review109,official organization for standarization of the European Union,Note to entry: Replaces country-specific techniques by common rules for the whole Union in collaboration with international organizations and its members in Europe,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,109
110,osgeo-concept:c110,European Environment Agency,EEA,European Environment Agency,,skos:Concept,owl:NamedIndividual,ldapi110-json,https://osgeo.geolexica.org/api/ldapi/110.json,ldapi110-jsonld,https://osgeo.geolexica.org/api/ldapi/110.jsonld,ldapi110-rdfxml,https://osgeo.geolexica.org/api/ldapi/110.rdf,ldapi110-skosrdf,https://osgeo.geolexica.org/api/ldapi/110.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info110,osgeo-review:Review110,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,110
111,osgeo-concept:c111,European Petroleum Survey Group,EPSG,European Petroleum Survey Group,,skos:Concept,owl:NamedIndividual,ldapi111-json,https://osgeo.geolexica.org/api/ldapi/111.json,ldapi111-jsonld,https://osgeo.geolexica.org/api/ldapi/111.jsonld,ldapi111-rdfxml,https://osgeo.geolexica.org/api/ldapi/111.rdf,ldapi111-skosrdf,https://osgeo.geolexica.org/api/ldapi/111.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info111,osgeo-review:Review111,"scientific organization with ties to the European petroleum industry consisting of specialists working in applied geodesy, surveying, and cartography related to oil exploration, part of the IOGP",,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,111
112,osgeo-concept:c112,European Space Agency,ESA,European Space Agency,,skos:Concept,owl:NamedIndividual,ldapi112-json,https://osgeo.geolexica.org/api/ldapi/112.json,ldapi112-jsonld,https://osgeo.geolexica.org/api/ldapi/112.jsonld,ldapi112-rdfxml,https://osgeo.geolexica.org/api/ldapi/112.rdf,ldapi112-skosrdf,https://osgeo.geolexica.org/api/ldapi/112.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info112,osgeo-review:Review112,European intergovernmental organisation dedicated to the exploration of space,Note to entry: See http://www.esa.int,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,112
113,osgeo-concept:c113,European Space Education Resource Office,ESERO,European Space Education Resource Office,,skos:Concept,owl:NamedIndividual,ldapi113-json,https://osgeo.geolexica.org/api/ldapi/113.json,ldapi113-jsonld,https://osgeo.geolexica.org/api/ldapi/113.jsonld,ldapi113-rdfxml,https://osgeo.geolexica.org/api/ldapi/113.rdf,ldapi113-skosrdf,https://osgeo.geolexica.org/api/ldapi/113.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info113,osgeo-review:Review113,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,113
114,osgeo-concept:c114,European Spatial Data Information Infrastructure,ESDI,European Spatial Data Information Infrastructure,,skos:Concept,owl:NamedIndividual,ldapi114-json,https://osgeo.geolexica.org/api/ldapi/114.json,ldapi114-jsonld,https://osgeo.geolexica.org/api/ldapi/114.jsonld,ldapi114-rdfxml,https://osgeo.geolexica.org/api/ldapi/114.rdf,ldapi114-skosrdf,https://osgeo.geolexica.org/api/ldapi/114.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info114,osgeo-review:Review114,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,114
115,osgeo-concept:c115,European Spatial Data Research,EuroSDR,European Spatial Data Research,,skos:Concept,owl:NamedIndividual,ldapi115-json,https://osgeo.geolexica.org/api/ldapi/115.json,ldapi115-jsonld,https://osgeo.geolexica.org/api/ldapi/115.jsonld,ldapi115-rdfxml,https://osgeo.geolexica.org/api/ldapi/115.rdf,ldapi115-skosrdf,https://osgeo.geolexica.org/api/ldapi/115.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info115,osgeo-review:Review115,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,115
116,osgeo-concept:c116,European Umbrella Organisation for Geographic Information,EUROGI,European Umbrella Organisation for Geographic Information,,skos:Concept,owl:NamedIndividual,ldapi116-json,https://osgeo.geolexica.org/api/ldapi/116.json,ldapi116-jsonld,https://osgeo.geolexica.org/api/ldapi/116.jsonld,ldapi116-rdfxml,https://osgeo.geolexica.org/api/ldapi/116.rdf,ldapi116-skosrdf,https://osgeo.geolexica.org/api/ldapi/116.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info116,osgeo-review:Review116,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,116
117,osgeo-concept:c117,eXtensible Markup Language,XML,eXtensible Markup Language,,skos:Concept,owl:NamedIndividual,ldapi117-json,https://osgeo.geolexica.org/api/ldapi/117.json,ldapi117-jsonld,https://osgeo.geolexica.org/api/ldapi/117.jsonld,ldapi117-rdfxml,https://osgeo.geolexica.org/api/ldapi/117.rdf,ldapi117-skosrdf,https://osgeo.geolexica.org/api/ldapi/117.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info117,osgeo-review:Review117,markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,117
118,osgeo-concept:c118,eXtensible Style Sheet Transformation,XSLT,eXtensible Style Sheet Transformation,,skos:Concept,owl:NamedIndividual,ldapi118-json,https://osgeo.geolexica.org/api/ldapi/118.json,ldapi118-jsonld,https://osgeo.geolexica.org/api/ldapi/118.jsonld,ldapi118-rdfxml,https://osgeo.geolexica.org/api/ldapi/118.rdf,ldapi118-skosrdf,https://osgeo.geolexica.org/api/ldapi/118.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info118,osgeo-review:Review118,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,118
119,osgeo-concept:c119,Extreme Science and Engineering Discovery Environment,XSEDE,Extreme Science and Engineering Discovery Environment,,skos:Concept,owl:NamedIndividual,ldapi119-json,https://osgeo.geolexica.org/api/ldapi/119.json,ldapi119-jsonld,https://osgeo.geolexica.org/api/ldapi/119.jsonld,ldapi119-rdfxml,https://osgeo.geolexica.org/api/ldapi/119.rdf,ldapi119-skosrdf,https://osgeo.geolexica.org/api/ldapi/119.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info119,osgeo-review:Review119,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,119
120,osgeo-concept:c120,feature type,,feature type,,skos:Concept,owl:NamedIndividual,ldapi120-json,https://osgeo.geolexica.org/api/ldapi/120.json,ldapi120-jsonld,https://osgeo.geolexica.org/api/ldapi/120.jsonld,ldapi120-rdfxml,https://osgeo.geolexica.org/api/ldapi/120.rdf,ldapi120-skosrdf,https://osgeo.geolexica.org/api/ldapi/120.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info120,osgeo-review:Review120,class of features having common characteristics,,,,"ISO 19156:2011, 4.7",,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,120
121,osgeo-concept:c121,Federal Geographic Data Committee,FGDC,Federal Geographic Data Committee,,skos:Concept,owl:NamedIndividual,ldapi121-json,https://osgeo.geolexica.org/api/ldapi/121.json,ldapi121-jsonld,https://osgeo.geolexica.org/api/ldapi/121.jsonld,ldapi121-rdfxml,https://osgeo.geolexica.org/api/ldapi/121.rdf,ldapi121-skosrdf,https://osgeo.geolexica.org/api/ldapi/121.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info121,osgeo-review:Review121,"interagency committee that promotes the coordinated development, use, sharing, and dissemination of geospatial data on a national basis in the USA",Note to entry: See http://www.fgdc.gov,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,121
122,osgeo-concept:c122,Food and Agriculture Organisation,FAO,Food and Agriculture Organisation,,skos:Concept,owl:NamedIndividual,ldapi122-json,https://osgeo.geolexica.org/api/ldapi/122.json,ldapi122-jsonld,https://osgeo.geolexica.org/api/ldapi/122.jsonld,ldapi122-rdfxml,https://osgeo.geolexica.org/api/ldapi/122.rdf,ldapi122-skosrdf,https://osgeo.geolexica.org/api/ldapi/122.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info122,osgeo-review:Review122,specialised agency of the United Nations that leads international efforts to defeat hunger,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,122
123,osgeo-concept:c123,Free and Open Source Software,FOSS,Free and Open Source Software,,skos:Concept,owl:NamedIndividual,ldapi123-json,https://osgeo.geolexica.org/api/ldapi/123.json,ldapi123-jsonld,https://osgeo.geolexica.org/api/ldapi/123.jsonld,ldapi123-rdfxml,https://osgeo.geolexica.org/api/ldapi/123.rdf,ldapi123-skosrdf,https://osgeo.geolexica.org/api/ldapi/123.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info123,osgeo-review:Review123,"software which is liberally licensed to grant the right of users to study, change, and improve its design through the availability of its source code","Note to entry: Also F/OSS, FOSS, or FLOSS (free/libre/open source software). See http://en.wikipedia.org/wiki/FOSS",,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,123
124,osgeo-concept:c124,Free and Open Source Software for Geospatial,FOSS4G,Free and Open Source Software for Geospatial,,skos:Concept,owl:NamedIndividual,ldapi124-json,https://osgeo.geolexica.org/api/ldapi/124.json,ldapi124-jsonld,https://osgeo.geolexica.org/api/ldapi/124.jsonld,ldapi124-rdfxml,https://osgeo.geolexica.org/api/ldapi/124.rdf,ldapi124-skosrdf,https://osgeo.geolexica.org/api/ldapi/124.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info124,osgeo-review:Review124,Conference of the Open Source Geospatial Foundation,,,,,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,124
125,osgeo-concept:c125,GD Graphics (Draw) Library,GD,GD Graphics (Draw) Library,,skos:Concept,owl:NamedIndividual,ldapi125-json,https://osgeo.geolexica.org/api/ldapi/125.json,ldapi125-jsonld,https://osgeo.geolexica.org/api/ldapi/125.jsonld,ldapi125-rdfxml,https://osgeo.geolexica.org/api/ldapi/125.rdf,ldapi125-skosrdf,https://osgeo.geolexica.org/api/ldapi/125.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info125,osgeo-review:Review125,software graphics library for dynamic generation of images,,,,https://mapserver.org/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,125
